id,wine,rating,location,image
1,Montrachet Grand Cru 2010,"{'average': '4.9', 'reviews': '37 ratings'}",France·Montrachet Grand Cru,https://images.vivino.com/thumbs/rORmihtxSrKG7SfuI0bD6w_pb_x300.png
2,Montrachet Grand Cru 2014,"{'average': '4.9', 'reviews': '33 ratings'}",France·Montrachet Grand Cru,https://images.vivino.com/thumbs/rORmihtxSrKG7SfuI0bD6w_pb_x300.png
3,Meursault Les Rougeots 2001,"{'average': '4.9', 'reviews': '25 ratings'}",France·Meursault,https://images.vivino.com/thumbs/l5W5NRvZR_SzClIDSnG5Ag_pb_x300.png
4,Corton-Charlemagne Grand Cru N.V.,"{'average': '4.8', 'reviews': '416 ratings'}",France·Corton-Charlemagne Grand Cru,https://images.vivino.com/thumbs/ZGxHdQyGQt-hfJt7eNMXlA_pb_x300.png
5,Estate Finch Hollow Chardonnay (Cave Fermented) 2014,"{'average': '4.8', 'reviews': '113 ratings'}",United States·Napa Valley,https://images.vivino.com/thumbs/pQ_92smWRKG7Y7h5_ZwD-w_pb_x300.png
6,Y 1996,"{'average': '4.8', 'reviews': '96 ratings'}",France·Bordeaux Supérieur,https://images.vivino.com/thumbs/6dP83oDrQy2Zv6es9tHp7w_pb_x300.png
7,Bâtard-Montrachet Grand Cru 1996,"{'average': '4.8', 'reviews': '71 ratings'}",France·Bâtard-Montrachet Grand Cru,https://images.vivino.com/thumbs/EDQ4q_3FQ568NVspQBECug_pb_x300.png
8,Montrachet Grand Cru Marquis de Laguiche 2004,"{'average': '4.8', 'reviews': '64 ratings'}",France·Montrachet Grand Cru,https://images.vivino.com/thumbs/1QoFUeYqQaCU07v4MBx8yw_pb_x300.png
9,Meursault Les Rougeots 2005,"{'average': '4.8', 'reviews': '56 ratings'}",France·Meursault,https://images.vivino.com/thumbs/l5W5NRvZR_SzClIDSnG5Ag_pb_x300.png
10,Bâtard-Montrachet Grand Cru 2012,"{'average': '4.8', 'reviews': '55 ratings'}",France·Bâtard-Montrachet Grand Cru,https://images.vivino.com/thumbs/pWOdFPoyQ427uoHW_l941g_pb_x300.png
11,Montrachet Grand Cru Marquis de Laguiche 2002,"{'average': '4.8', 'reviews': '44 ratings'}",France·Montrachet Grand Cru,https://images.vivino.com/thumbs/1QoFUeYqQaCU07v4MBx8yw_pb_x300.png
12,Montrachet Grand Cru 1999,"{'average': '4.8', 'reviews': '44 ratings'}",France·Montrachet Grand Cru,https://images.vivino.com/thumbs/rORmihtxSrKG7SfuI0bD6w_pb_x300.png
13,Montrachet Grand Cru 2000,"{'average': '4.8', 'reviews': '42 ratings'}",France·Montrachet Grand Cru,https://images.vivino.com/thumbs/rORmihtxSrKG7SfuI0bD6w_pb_x300.png
